code,icao,ident,name,city,state,lat,lon,type,runways
RMY,KMPI,KMPI,Mariposa Yosemite Airport,Mariposa,CA,37.5108985901,-120.040000916,small_airport,1.0
MOX,KMOX,KMOX,Morris Municipal Airport Charlie Schmidt Field,Morris,MN,45.566002,-95.967201,small_airport,1.0
MOR,KMOR,KMOR,Morristown Regional Airport,Morristown,TN,36.179401,-83.375504,small_airport,1.0
MOP,KMOP,KMOP,Mount Pleasant Municipal Airport,Mount Pleasant,MI,43.6217,-84.737503,small_airport,1.0
MNN,KMNN,KMNN,Marion Municipal Airport,Marion,OH,40.6161994934,-83.06349945070001,small_airport,2.0
MNM,KMNM,KMNM,Menominee–Marinette Twin County Airport,Menominee,MI,45.126701,-87.638397,small_airport,2.0
MMS,KMMS,KMMS,Selfs Airport,Marks,MS,34.231499,-90.289597,small_airport,1.0
MML,KMML,KMML,Southwest Minnesota Regional Airport - Marshall/Ryan Field,Marshall,MN,44.45050049,-95.82189941,small_airport,2.0
MMI,KMMI,KMMI,McMinn County Airport,Athens,TN,35.39730072,-84.56259918,small_airport,1.0
MLT,KMLT,KMLT,Millinocket Municipal Airport,Millinocket,ME,45.6478,-68.6856,small_airport,2.0
MLJ,KMLJ,KMLJ,Baldwin County Regional Airport,Milledgeville,GA,33.154202,-83.240701,small_airport,1.0
MLF,KMLF,KMLF,Milford Municipal-Ben and Judy Briscoe Field,Milford,UT,38.426601,-113.012001,small_airport,1.0
MIQ,KMLE,KMLE,Millard Airport,Omaha,NE,41.195877,-96.112107,small_airport,1.0
MLD,KMLD,KMLD,Malad City Airport,Malad City,ID,42.166599,-112.296997,small_airport,2.0
MPZ,KMPZ,KMPZ,Mount Pleasant Municipal Airport,Mount Pleasant,IA,40.94660187,-91.51110077,small_airport,1.0
MQB,KMQB,KMQB,Macomb Municipal Airport,Macomb,IL,40.5200996399,-90.6523971558,small_airport,1.0
MEO,KMQI,KMQI,Dare County Regional Airport,Manteo,NC,35.91879,-75.695662,small_airport,2.0
CTH,KMQS,KMQS,Chester County G O Carlson Airport,Coatesville,PA,39.97900009,-75.8655014,small_airport,1.0
MWO,KMWO,KMWO,Middletown Regional Airport,Middletown,OH,39.530998,-84.395302,small_airport,2.0
MWM,KMWM,KMWM,Windom Municipal Airport,Windom,MN,43.913399,-95.109398,small_airport,1.0
